artist_name,track_name
Plies,Becky
Alex Da Kid,Not Easy
Aminé,Baba
Skizzy Mars,Hit Me Harder (feat. Jaymes Young)
Beyoncé,Get Me Bodied
2 Chainz,A Milli Billi Trilli
Ugly God,Welcome To The Booty Tape
Darius Rucker,For The First Time
Dillon Francis,Anywhere
Brett Eldredge,Bring You Back
Childish Gambino,I. pink toes
Dashboard Confessional,Vindicated
Jason Aldean,"Old Boots, New Dirt"
Glass Animals,Youth
Hunter Hayes,Someday Girl
Audien,Something Better
Bryson Tiller,Intro (Difference)
Lana Del Rey,Off To The Races
Hudson Thames,How I Want Ya
Banks,Beggin For Thread
Axwell /\ Ingrosso,I Love You
Mac Dre,Fellin' Myself
The Soggy Bottom Boys,"I Am A Man Of Constant Sorrow - From “O Brother, Where Art Thou” Soundtrack / Radio Station Version"
ZHU,Faded - Original Mix
Logic,City Of Stars
blackbear,Valley Girls
Matchbox Twenty,Back 2 Good
Kris Allen,Live Like We're Dying
Troy,"You Are The Music In Me - From ""High School Musical 2""/Soundtrack Version"
Kevin Gates,Get Up On My Level
Kid Ink,F With U
WALK THE MOON,Aquaman
Billy Currington,That's How Country Boys Roll
Zedd,Find You
Twenty One Pilots,Not Today
Mudvayne,Happy?
Band of Horses,No One's Gonna Love You
James Taylor,Mexico
Mako,Smoke Filled Room
Billy Joel,Movin' Out (Anthony's Song)
Sir Sly,High
Eric Paslay,She Don't Love You
Kid Cudi,King Wizard
Stephen Schwartz,"Defying Gravity - From ""Wicked"" Original Broadway Cast Recording/2003"
Queen,Radio Ga Ga - Remastered 2011
PnB Rock,Notice Me
will.i.am,Check It Out
Bob Marley & The Wailers,Waiting In Vain
Gym Class Heroes,Cookie Jar - feat. The-Dream
Vengaboys,We like to Party! (The Vengabus)
Galantis,Gold Dust
311,Love Song
Billy Joel,Scenes from an Italian Restaurant
Chris Brown,Zero
Coheed and Cambria,Welcome Home
Eminem,Rhyme Or Reason
Lana Del Rey,Blue Jeans
MS MR,Hurricane
Rod Stewart,Da Ya Think I'm Sexy
Lupe Fiasco,Daydreamin' (feat. Jill Scott)
Milky Chance,Sweet Sun
Logic,The Incredible True Story
Mariah Carey,Honey
Nick Jonas,Chainsaw
Beyoncé,Ego
Modest Mouse,Lampshades on Fire
Stephen,Crossfire
Birdy,Keeping Your Head Up
Huey Lewis & The News,Hip To Be Square
Eagles,New Kid In Town - Remastered
Juicy J,All Night
Steve Perry,Oh Sherrie
The Bangles,Manic Monday
Good Charlotte,Girls & Boys
Lil Uzi Vert,Banned From TV
Roxette,The Look
Jamie Foxx,Fall For Your Type
Kenny Chesney,Flora-Bama
Carrie Underwood,Mama's Song
Twenty One Pilots,Cancer
Young Dro,FDB
Martina McBride,Concrete Angel
One Direction,Love You Goodbye
Saliva,Always
Rihanna,Russian Roulette
A$AP Ferg,Swipe Life
Dizzy Wright,Killem With Kindness
Montell Jordan,Get It On Tonite
The Neighbourhood,W.D.Y.W.F.M?
Demi Lovato,Skyscraper
Taylor Swift,All You Had To Do Was Stay
Matoma,Girl At Coachella (with Matoma & MAGIC! feat. DRAM)
The Weeknd,A Lonely Night
J. Cole,Land of the Snakes
Imagine Dragons,I’m So Sorry
LunchMoney Lewis,Whip It!
Whitesnake,Still of the Night - 2017 Remastered Version
FRENSHIP,1000 Nights
Bastille,Flaws
Taylor Bennett,Broad Shoulders (feat. Chance the Rapper)
BBMak,Back Here
Darius Rucker,I Got Nothin'
Bonnie Tyler,Holding Out for a Hero
Imagine Dragons,Polaroid
Kevin Gates,Posed To Be In Love
Logic,Paradise
Thomas Rhett,Marry Me
NAV,Both Sides
Electric Light Orchestra,Turn to Stone
ZAYN,Dusk Till Dawn - Radio Edit
Metallica,For Whom The Bell Tolls - Remastered
Elvin Bishop,Fooled Around And Fell In Love
Aminé,Heebiejeebies - Bonus
Green Day,Longview
Alicia Keys,Girl On Fire - Inferno Version
Brad Paisley,Little Moments
Lennon & Maisy,Boom Clap
J Balvin,Ay Vamos
One Direction,Last First Kiss
Kygo,ID - Ultra Music Festival Anthem
Megadeth,Symphony Of Destruction - 2004 Digital Remaster
Night Ranger,Sister Christian
One Direction,If I Could Fly
Relient K,Be My Escape
Waka Flocka Flame,I Don't Really Care - feat. Trey Songz
Janelle Monáe,Primetime (feat. Miguel)
Brett Eldredge,The Long Way
Isaiah Rashad,AA
Gotye,Eyes Wide Open
Nelly,Get Like Me
Troop 41,Do The John Wall
Emblem3,Chloe (You're the One I Want)
The Troggs,Wild Thing (Re-Recorded / Remastered)
Meghan Trainor,Title
Lil Yachty,For Hot 97
Selena Gomez,Perfect
Russ,Psycho
Harry Nilsson,"Everybody's Talkin' - From ""Midnight Cowboy"""
Ray LaMontagne,You Are the Best Thing
La Roux,In For The Kill - Skrillex Remix
Cole Swindell,Should've Ran After You
The Lumineers,Where The Skies Are Blue
Rise Against,Prayer Of The Refugee
Luke Bryan,Love It Gone
Rittz,Switch Lanes
Trip Lee,Manolo
Mr. Probz,Waves feat. Chris Brown & T.I - Robin Schulz Remix
Jennifer Lopez,Love Don't Cost a Thing
Lupe Fiasco,Out Of My Head (feat. Trey Songz) - feat. Trey Songz
Village People,Y.M.C.A.
Harry Belafonte,Banana Boat (Day-O)
Arctic Monkeys,Knee Socks
Led Zeppelin,Over The Hills And Far Away
Raven-Symoné,That's So Raven (Theme Song)
Radiohead,High And Dry
Slipknot,Duality
T-Pain,Take Your Shirt Off
Travis Tritt,Here's A Quarter [Call Someone Who Cares]
AC/DC,Rock and Roll Ain't Noise Pollution
The Wombats,Give Me A Try
Frank Ocean,Biking (Solo)
Don Omar,Zumba
Jennifer Lopez,Let's Get Loud
Dallas Smith,Wastin' Gas
Grateful Dead,Casey Jones
Mike Jones,Next to You - Explicit Album Version
Sister Nancy,Bam Bam
Air Supply,All Out of Love
Musical Youth,Pass The Dutchie
Garbage,Stupid Girl
Hilary Duff,Wake Up
Kenny Chesney,Don't Happen Twice
Pusha T,Sweet Serenade
Sheryl Crow,Everyday Is A Winding Road
Taylor Dayne,Tell It to My Heart
Alesso,I Wanna Know
Waka Flocka Flame,Bricksquad - feat. Gudda Gudda [Explicit Album Version]
Sly & The Family Stone,Dance to the Music
Cage The Elephant,Cold Cold Cold
Rita Ora,How We Do (Party)
Moby,Porcelain
Ohio Players,Love Rollercoaster
Dierks Bentley,Bourbon In Kentucky
The Lumineers,Classy Girls
Snow,Informer
Quinn XCII,Stung
Orleans,Still The One
Diddy,Bad Boy For Life
Three Dog Night,Joy To The World
My Darkest Days,Porn Star Dancing
Jessie Reyez,Figures
Trey Songz,Mr. Steal Your Girl
Skillet,Hero
SAINt JHN,3 Below
Kaskade,Atmosphere
Cody Simpson,Pretty Brown Eyes
Mila J,My Main
Jim Jones,Pop Champagne - Explicit Album Version
Weezer,King Of The World
Felly,Desert Eagle (feat. GYYPS)
Chris Young,She's Got This Thing About Her
Florence + The Machine,You've Got The Love
Michael Jackson,Black or White
Hannah Montana,I Wanna Know You
Armin van Buuren,Another You - Radio Edit
Dillon Francis,Say Less
Pat Green,Wave on Wave
The Monkees,Daydream Believer
Beck,E-Pro
MAX,Gibberish
Watsky,Sloppy Seconds
Jon Pardi,Night Shift
Eric Clapton,Let It Rain
Young Dro,We In Da City
Kevin Gates,Break The Bitch Down (feat. K. Camp)
Kanye West,Siiiiiiiiilver Surffffeeeeer Intermission
Beck,Wow
Alice In Chains,Nutshell
Usher,Lil Freak
Jamie Lawson,Wasn't Expecting That
ILoveMakonnen,I Don't Sell Molly No More
A Boogie Wit da Hoodie,Say A'
Russ,Scared
Jermaine Dupri,Welcome To Atlanta - Explicit LP Version
NAV,Did You See NAV?
Pharoahe Monch,Simon Says
Kenny And The Scots,I Would Walk 500 Miles
The Beatles,Blackbird - Remastered
Trap Beckham,Birthday Bitch
Ludacris,Southern Hospitality (Featuring Pharrell)
Chris Young,I Can Take It From There
Hoku,Perfect Day
John Mayer,Dear Marie
Demi Lovato,"Let It Go - From ""Frozen"" / Single Version"
Adele,Turning Tables
Spice Girls,Spice Up Your Life
The Georgia Satellites,Keep Your Hands To Yourself
Baka Not Nice,Live Up To My Name
Creedence Clearwater Revival,Travelin Band
Keith Urban,Making Memories Of Us
Rihanna,Cockiness (Love It)
Imagine Dragons,Levitate - From The Original Motion Picture “Passengers”
Lil Dicky,Bruh...
Hunter Hayes,Love Makes Me
Styles P,Good Times
Bridgit Mendler,Hurricane
Eminem,Beautiful
Loote,High Without Your Love
Meek Mill,Ima Boss - feat. Rick Ross
Miranda Lambert,Only Prettier
Pink Floyd,Brain Damage
Bryson Tiller,Don't Get Too High
will.i.am,Bang Bang
Rick Ross,So Sophisticated
Mann,Buzzin
Imagine Dragons,Battle Cry
Usher,Caught Up
Odessa,I Will Be There
August Alsina,I Luv This Shit - Remix (Bonus Track)
Ellie Goulding,Explosions
Halsey,Colors pt. II
Wale,Pretty Girls
Dr. Dre,Xxplosive
Mariah Carey,Don't Forget About Us
Cody Johnson,With You I Am
YC Worldwide,Racks
Breaking Benjamin,So Cold - Remix
Montgomery Gentry,Lucky Man
Busta Rhymes,"Touch It - Remix/Featuring Mary J. Blige, Rah Digga, Missy Elliot, Lloyd Banks, Papoose & DMX (Explcit)"
The Foundations,Build Me up Buttercup
Prince,Little Red Corvette
gnash,feelings fade
The 1975,Loving Someone
Grimes,Genesis
The Drifters,This Magic Moment - Single/LP Version
Cole Swindell,Stay Downtown
The Neighbourhood,Daddy Issues
Lea Salonga,A Whole New World
Metallica,Turn The Page
Tone-Loc,Funky Cold Medina
U2,Sweetest Thing
Three 6 Mafia,Poppin' My Collar - feat. Project Pat - Explicit
G-Unit,Poppin' Them Thangs
LL Cool J,Mama Said Knock You Out
Bonnie Raitt,Something To Talk About
The Vamps,Somebody To You
Tee Grizzley,Real Ni**as
No Doubt,Sunday Morning
Brad Paisley,We Danced
Kendrick Lamar,"Bitch, Don’t Kill My Vibe - Remix"
Coldplay,Sparks
Alice In Chains,Down In A Hole
Fastball,The Way
Snakehips,Days With You
Swedish House Mafia,Don't You Worry Child (feat. John Martin)
Grace VanderWaal,Clay
Mumford & Sons,I Gave You All
Grouplove,Shark Attack
Billy Joel,Uptown Girl - Live
Troy And Gabriella,Gotta Go My Own Way
Akon,Stick Around
Ocean Park Standoff,Good News
Alabama Shakes,Hold On
Kodak Black,Institution
Michael Kiwanuka,Cold Little Heart - Radio Edit
Future,Karate Chop (Remix)
Wiz Khalifa,Studio Lovin’
21 Savage,How To Ball
The Black Eyed Peas,Let's Get Retarded
Father,Look At Wrist
Nicki Minaj,Want Some More
Jake Owen,Life of the Party
James Bay,If I Ain’t Got You - Live From Spotify London/2015
Mumford & Sons,Timshel
Green Day,Jesus Of Suburbia
Jennifer Lopez,Get Right
Warren Zevon,Werewolves Of London - 2007 Remastered Version
Beyoncé,Blow
Tinie Tempah,Till I'm Gone - feat. Wiz Khalifa
Chromeo,Jealous (I Ain't With It)
A$AP Rocky,Multiply
Lil Uzi Vert,No Sleep Leak
A$AP Mob,Money Man
Nirvana,Rape Me
Ty Dolla $ign,??? (Where) [feat. Migos]
Purity Ring,begin again
Pitbull,Shake Senora
Thomas Rhett,Tangled
Meek Mill,The Difference (feat. Quavo)
G-Eazy,Stay High (feat. Mod Sun)
Tank,"#BDAY (feat. Chris Brown, Siya and Sage The Gemini)"
Unk,2 Step
Dustin Lynch,All Night
The Beatles,Let It Be - Remastered 2015
The Supremes,Stop! In The Name Of Love
Lorde,Homemade Dynamite - REMIX
The Band,The Night They Drove Old Dixie Down - 2000 - Remaster
James Blunt,Goodbye My Lover
Macklemore & Ryan Lewis,Otherside (feat. Fences) [Ryan Lewis Remix]
Ciara,Ride
Five Finger Death Punch,Remember Everything
blackbear,Deadroses
Rich Homie Quan,Some Type of Way
Fall Out Boy,Young Volcanoes
Sam Hunt,Speakers - Acoustic Mixtape
Led Zeppelin,Babe I'm Gonna Leave You
PnB Rock,Jealous (feat. Fetty Wap)
Luke Bryan,Blood Brothers
WALK THE MOON,Sidekick
The Roots,You Got Me
Aer,Like the Way
Young Dolph,Fuck It
Meghan Trainor,Better When I'm Dancin'
Zac Brown Band,Day That I Die (feat. Amos Lee)
The Supremes,Baby Love - Juke Box Single Version
Usher,"Love in This Club, Pt. II"
Evanescence,Call Me When You're Sober
K'NAAN,Hurt Me Tomorrow
Adele,Skyfall - Full Length
The Band Perry,You Lie
Moneybagg Yo,Doin 2 Much
Alanis Morissette,Head Over Feet - 2015 Remastered
French Montana,Ballin Out
Hippie Sabotage,Devil Eyes
Panic! At The Disco,Hurricane
Chet Faker,Gold - Flume Re-Work
Future,No Cap
Aerosmith,Cryin'
"Hank Williams, Jr.",Dinosaur
Grace VanderWaal,Beautiful Thing
Steve Moakler,Suitcase
Josh Kelley,Mandolin Rain
New Found Glory,My Friends Over You
Young the Giant,Apartment
Logic,Bounce
Kesha,Hymn
The Beatles,Yesterday - Remastered
Mac Miller,Party On Fifth Ave.
Zac Brown Band,The Wind
Tim McGraw,Real Good Man
OneRepublic,Burning Bridges
Drake,Fear
Betty Who,Somebody Loves You
Nickelback,Next Contestant
Tory Lanez,LUV - Remix
Ski Mask The Slump God,BabyWipe
Future,Turn On Me
The Lumineers,Slow It Down
Bastille,What Would You Do
Baby E,Finessin
Young Thug,"Slime Shit (feat. Yak Gotti, Duke & Peewee Roscoe)"
The Allman Brothers Band,Jessica - Unedited Version
Mac Miller,Clubhouse
Young Thug,Memo
Melanie Martinez,Cry Baby
Jhene Aiko,Promises
Speaker Knockerz,Rico Story
Volbeat,A Warrior's Call
Eminem,Criminal
Russ,Overdue
Creedence Clearwater Revival,Who'll Stop The Rain
Maroon 5,Unkiss Me
N.W.A.,Gangsta Gangsta
Tom Odell,Long Way Down
Mumford & Sons,Babel
AC/DC,Big Balls
Mac Miller,Best Day Ever
Travis Tritt,T-R-O-U-B-L-E - Remastered
Cold War Kids,Hang Me Up To Dry
Chase Rice,Look at My Truck
The Police,Don't Stand So Close To Me - Remastered 2003
Boston,Don't Look Back
Daughtry,Life After You
Mac Miller,We (feat. CeeLo Green)
Kendrick Lamar,How Much A Dollar Cost
Britney Spears,Stronger
Ray LaMontagne,Trouble
The Goo Goo Dolls,Black Balloon
2Pac,Dear Mama
Nickelback,Something In Your Mouth
Billy Joel,New York State of Mind
Cole Swindell,Down Home Boys
A$AP Rocky,LVL
Randy Houser,Boots On
Sabrina Carpenter,Eyes Wide Open
Easton Corbin,Roll With It
We The Kings,Sad Song (feat. Elena Coates)
Wale,The Girls On Drugs
Young the Giant,I Got
James Bay,If You Ever Want To Be In Love
Kings of Leon,Pyro
Troye Sivan,TALK ME DOWN
The Weeknd,Love To Lay
Vampire Weekend,Step
The Gap Band,You Dropped A Bomb On Me
Lil Yachty,X Men
Kendrick Lamar,BLOOD.
Dae Dae,Spend It
mansionz,STFU
Roger Bart,"Go the Distance - From ""Hercules""/Soundtrack"
Desiigner,Tiimmy Turner - Remix
The Pointer Sisters,Jump (For My Love)
Jesse McCartney,She's No You
G-Eazy,Complete
Fantasia,When I See U
Big Sean,Outro
Childish Gambino,Me and Your Mama
Thirty Seconds To Mars,ATTACK
Jeezy,Leave You Alone
Metallica,Wherever I May Roam
Chase Rice,Whisper
Sam Smith,Life Support
Hootie & The Blowfish,Let Her Cry
J. Holiday,Bed
Oh Wonder,All We Do
Trey Songz,Loving You (feat. Ty Dolla $ign)
Van Halen,Ain't Talkin' 'Bout Love - 2015 Remastered Version
High School Musical Cast,What I've Been Looking For
Twisted Sister,I Wanna Rock
Starley,Call On Me
RÜFÜS,You Were Right
George Strait,How 'Bout Them Cowgirls
Gorilla Zoe,Echo - Explicit Album Version
YG,One Time Comin'
Kanye West,Barry Bonds
Future,Outta Time
Eagles,Already Gone
Modest Mouse,Dashboard
Scotty McCreery,Southern Belle
Keith Urban,Sweet Thing
2 Chainz,OG Kush Diet
Thirty Seconds To Mars,Closer To The Edge
Rage Against The Machine,Guerrilla Radio
Harry Belafonte,Jump in the Line
Gretchen Wilson,Redneck Woman
Ariana Grande,Break Your Heart Right Back
Alessia Cara,I'm Yours
Fabolous,My Time
The Band,Ophelia - 2001 Digital Remaster
Judah & the Lion,Take It All Back 2.0
Little Richard,Tutti Frutti
Pitbull,Hey Baby (Drop It To the Floor)
Dexys Midnight Runners,Come On Eileen
The Doors,Touch Me
Dolly Parton,9 to 5
Chris Brown,Turn Up the Music
Petey Pablo,Show Me The Money
Theory of a Deadman,Not Meant To Be
PnB Rock,No Time
Logic,Anziety
Brad Paisley,This Is Country Music
Miley Cyrus,G.N.O. Girls Night Out
Brantley Gilbert,My Baby’s Guns N’ Roses
The Black Eyed Peas,Don't Lie
Jimmy Cliff,I Can See Clearly Now
Future,Slave Master
Faith Hill,This Kiss - Remastered
Hunter Hayes,Everybody's Got Somebody But Me (feat. Jason Mraz) - Encore
Bebe Rexha,F.F.F. (feat. G-Eazy)
Radiohead,No Surprises
Michael Jackson,Human Nature
Lenny Kravitz,American Woman
City and Colour,Lover Come Back
High School Musical Cast,Work This Out
Juelz Santana,There It Go (The Whistle Song)
Lil Uzi Vert,Original Uzi (4 Of Us)
Ellie Goulding,Your Song
Mumford & Sons,Sigh No More
Future,Real and True
Plain White T's,"1, 2, 3, 4"
Justin Bieber,Children
Mac Miller,"God Is Fair, Sexy Nasty (feat. Kendrick Lamar)"
J. Cole,Foldin Clothes
Wale,Fashion Week (feat. G-Eazy)
Wale,The Matrimony (feat. Usher)
Rev Theory,Hell Yeah
69 Boyz,Tootsee Roll (Dance Version)
Darius Rucker,Radio
Jermaine Dupri,Money Ain't a Thang
Nothing But Thieves,Trip Switch
Rick James,Give It To Me Baby
MOD SUN,Shoot 'Em Down
Andrew McMahon in the Wilderness,High Dive
Panic! At The Disco,Collar Full
blackbear,wish u the best
Rob Bailey & The Hustle Standard,Beast - Southpaw Remix
Russ,Yung God
Twista,Overnight Celebrity
Janelle Monáe,Yoga
Melanie Martinez,Mrs. Potato Head
Linkin Park,Somewhere I Belong
Drake,Shut It Down
The Shirelles,Mama Said
The Fratellis,Whistle For The Choir
Third Eye Blind,Motorcycle Drive By
Gucci Mane,St. Brick Intro
Grace VanderWaal,Moonlight
ABBA,Take A Chance On Me
Boston,Amanda
Donavon Frankenreiter,Free
Kevin Gates,Pride
Nelly Furtado,Maneater
K CAMP,Till I Die
Eve,Who's That Girl?
Toadies,Possum Kingdom
Busta Rhymes,Calm Down (feat. Eminem)
Gin Blossoms,Follow You Down
George Strait,All My Ex's Live In Texas
J. Cole,January 28th
Vince Staples,Big Fish
Jason Aldean,Johnny Cash
Seven Mary Three,Cumbersome
Thomas Rhett,Learned It From The Radio
Gloria Gaynor,I Will Survive - 1981 Re-recording
Manfred Mann's Earth Band,Blinded By The Light
Fall Out Boy,I Don't Care
Twenty One Pilots,March To The Sea
Ms. Lauryn Hill,Everything Is Everything
Dierks Bentley,Sounds Of Summer
Alabama,Born Country
Taylor Swift,New Romantics
Busta Rhymes,Break Ya Neck
Melanie Martinez,Teddy Bear
System Of A Down,Hypnotize
Snoop Dogg,Sensual Seduction - Album Version (Edited) FINAL
Yo Gotti,Weatherman
Shawn Mendes,Air
Nelly,Die a Happy Man
Golden Earring,Radar Love
David Guetta,Lovers on the Sun (feat. Sam Martin)
Nickelback,Gotta Be Somebody
Zac Brown Band,Tomorrow Never Comes - (Acoustic Version)
R. City,Make Up
Future,Lay Up
Hoodie Allen,Eighteen Cool
Big Time Rush,Windows Down
Tori Kelly,I Was Made For Loving You
Santana,The Game of Love - Main / Radio Mix
Sam Smith,Leave Your Lover
Justin Bieber,U Smile
Aer,Songbird
Led Zeppelin,Tangerine
Drake,Karaoke
6LACK,Luving U
Macklemore & Ryan Lewis,Wing$
Hippie Sabotage,Your Soul
DJ Khaled,Take It To The Head
Topaz Jones,Tropicana (Bonus)
M. Keali'i Ho'omalu,"Hawaiian Roller Coaster Ride - From ""Lilo & Stitch""/Soundtrack Version"
Beyoncé,Haunted
Lil Jon & The East Side Boyz,Throw It Up
Britney Spears,Me Against the Music - LP Version / Video Mix
Luke Bryan,If You Ain't Here To Party
Migos,Cocoon
I Prevail,Blank Space
2Pac,Can't C Me
Frank Ocean,Swim Good
K'NAAN,Wavin' Flag
Dan + Shay,When I Pray For You
Jerrod Niemann,One More Drinkin' Song
Buckcherry,Lit Up
Thomas Rhett,Gateway Love
Migos,MotorSport
Rebelution,Ordinary Girl
Troye Sivan,Fun
Blake Shelton,Over
Frank Ocean,Solo
Wiz Khalifa,The Sleaze
Jetta,I'd Love To Change The World - Matstubs Remix
Milky Chance,Doing Good
Verse Simmonds,Boo Thang
All-4-One,I Swear
Boys Like Girls,Heels Over Head
Easton Corbin,Yup
The Go-Go's,We Got The Beat
Nas,N.Y. State of Mind
Lil Wayne,Bill Gates
The Band Perry,Chainsaw
Ashanti,Baby
Travis Scott,Apple Pie
AWOLNATION,Kill Your Heroes
Huey Lewis & The News,If This Is It
John Mayer,Dreaming with a Broken Heart
Josh Gracin,Nothin' To Lose
Bring Me The Horizon,Can You Feel My Heart
Van Morrison,Domino
The B-52's,Rock Lobster
Waka Flocka Flame,"Get Low - feat. Nicki Minaj, Tyga & Flo Rida"
Miike Snow,Song for No One
Fat Joe,Make It Rain
Paramore,That's What You Get
Skrillex,Recess
Stevie Ray Vaughan,Pride and Joy
Dylan Scott,Lay It On Me
Chris Brown,Beautiful People - Radio Edit
S Club 7,Never Had A Dream Come True
YG,BPT
Kool John,Blue Hunnids
The Beatles,She Loves You - Mono / Remastered
Flyleaf,Fully Alive
HONNE,Someone That Loves You
Jim Croce,Operator [That's Not The Way It Feels]
The Black Crowes,Jealous Again
Nirvana,All Apologies
Tove Styrke,Borderline - Vanic Remix
Alison Krauss & Union Station,When You Say Nothing At All
Jack Ü,Take Ü There (feat. Kiesza) - Missy Elliott Remix Bonus Track
R. Kelly,Cookie
Dae Dae,Wat U Mean (feat. Lil Yachty) - Remix
Fabolous,Into You - feat. Ashanti
Drake,Madonna
Billie Eilish,bellyache
Lorde,A World Alone
Ed Sheeran,U.N.I.
Beastie Boys,Girls
ayokay,The Shine
Wale,Ambition - feat. Meek Mill & Rick Ross
Kiiara,Intention
Flobots,Handlebars
Blake Shelton,Kiss My Country Ass
Sam Feldt,Show Me Love
Jack Johnson,You And Your Heart
Big Sean,Bigger Than Me
John Mayer,Who You Love
Joey Bada$$,TEMPTATION
Luke Bryan,To The Moon And Back
The Weeknd,Ordinary Life
Diddy,Can't Nobody Hold Me Down (feat. Mase)
Fetty Wap,Rock My Chain (feat. M80)
Audien,Crazy Love
Matthew Wilder,Break My Stride
Stone Temple Pilots,Wicked Garden
The Chainsmokers,Let You Go - Radio Edit
Kygo,Raging
Jason Derulo,Fight For You
Mr. Probz,Waves
Victorious Cast,Beggin' On Your Knees
Florida Georgia Line,Tell Me How You Like It
Local H,Bound For The Floor
Drake,Fancy
Silver,Wham Bam Shang-A-Lang
Sia,Bird Set Free
Future,Sorry
D12,Purple Pills
Vic Mensa,New Bae
Eminem,Business
Modest Mouse,Missed the Boat
The 1975,She's American
Aly & AJ,Rush
Britney Spears,Overprotected - Radio Edit
Alicia Keys,Empire State of Mind (Part II) Broken Down
David Guetta,Little Bad Girl (feat. Taio Cruz & Ludacris)
Toad The Wet Sprocket,All I Want
Taking Back Sunday,Cute Without The 'E' (Cut From The Team)
Brandy,The Boy Is Mine
James Brown,Papa's Got A Brand New Bag
GS Boyz,Stanky Legg - Main Edit
Kodak Black,Everything 1k
Sam Smith,Pray
Big Sean,All Your Fault
The Lonely Island,Jack Sparrow
A$AP Rocky,Angels
Journey,"Lovin', Touchin', Squeezin'"
Luke Bryan,Spring Breakdown
SZA,Garden (Say It Like Dat)
Zedd,Get Low (with Liam Payne)
Mura Masa,Firefly
Yo Gotti,Juice
Trick Daddy,Take It To Da House
The Revivalists,Wish I Knew You
Fall Out Boy,Twin Skeleton's (Hotel In NYC)
MUNA,Winterbreak - Tiësto's Deep House Remix
Matt and Kim,Let’s Go
Big Sean,Research
2Pac,All Eyez On Me
Childish Gambino,III. life: the biggest troll [andrew auernheimer]
A$AP Ferg,World Is Mine
Tyga,Stimulated
Lil Pump,What U Sayin' (feat. Smokepurpp)
Dierks Bentley,Every Mile A Memory
Taylor Swift,Teardrops On My Guitar
T-Pain,Church - Main Version - Explicit
Hailee Steinfeld,"Let Me Go (with Alesso, Florida Georgia Line & watt)"
Yuri Joness,Same Dude
Seafret,Oceans
Rascal Flatts,These Days
Phil Collins,Against All Odds (Take A Look At Me Now) - 2016 Remastered
Luke Combs,She Got the Best of Me
Galantis,True Feeling
Jazz Cartier,Dead Or Alive
DJ Snake,Turn Down for What - Official Remix
Yellow Claw,Till It Hurts
Thomas Rhett,Something To Do With My Hands
Michael Jackson,Black or White - Single Version
Kelly Clarkson,Behind These Hazel Eyes
Led Zeppelin,Going To California
Future,Hallucinating
Diamond Rio,Beautiful Mess
The Kooks,Junk of the Heart (Happy)
Frankie J,Obsesion (No Es Amor) - Featuring Baby Bash
KYLE,King Wavy (feat. G-Eazy)
Diamond Rio,Meet in the Middle
Wash,Can't Trust Thots
Jerrod Niemann,God Made A Woman
Trinidad James,All Gold Everything
Charli XCX,After The Afterparty (feat. Lil Yachty)
Jeremih,Imma Star (Everywhere We Are)
2Pac,How Do U Want It
Backstreet Boys,Everybody (Backstreet's Back) - Radio Edit
